Date,no. of Adult males,temperature_mean,relativehumidity_mean
15 June 2023,1,24.62,45
16 June 2023,1,26.79,46
17 June 2023,0,26.02,53
18 June 2023,1,25.04,48
19 June 2023,0,25.09,43
20 June 2023,0,27.95,39
21 June 2023,0,29.08,30
22 June 2023,0,28.91,36
23 June 2023,0,28.88,41
24 June 2023,0,27.44,41
25 June 2023,0,26.03,40
26 June 2023,0,26.69,39
27 June 2023,0,29.77,36
28 June 2023,0,27.89,47
29 June 2023,0,27.13,53
30 June 2023,0,27.29,43
01 July 2023,0,28.34,39
02 July 2023,0,26.33,43
03 July 2023,0,28.44,43
04 July 2023,0,29.82,34
05 July 2023,0,29.17,35
06 July 2023,0,26.61,51
07 July 2023,0,25.86,57
08 July 2023,0,23.11,58
09 July 2023,0,22.62,47
10 July 2023,0,24.81,35
11 July 2023,0,23.35,53
12 July 2023,0,23.85,50
13 July 2023,3,25.2,41
14 July 2023,0,27.66,27
15 July 2023,2,29.64,31
16 July 2023,0,27.1,48
17 July 2023,0,25.7,60
18 July 2023,1,25.63,54
19 July 2023,0,26.59,39
20 July 2023,0,27.42,30
21 July 2023,0,29.18,26
22 July 2023,0,30.2,29
23 July 2023,0,32.41,26
24 July 2023,0,30.43,38
25 July 2023,0,30.11,44
26 July 2023,0,30.22,49
27 July 2023,0,26.86,69
28 July 2023,0,26.3,65
29 July 2023,0,27.89,49
30 July 2023,0,25.39,64
31 July 2023,0,26.38,41
01 August 2023,0,28.18,31
02 August 2023,0,27.73,42
03 August 2023,0,27.3,48
04 August 2023,0,28.52,36
05 August 2023,0,29.87,31
06 August 2023,0,29.77,43
07 August 2023,0,26.27,58
08 August 2023,0,26.13,53
09 August 2023,0,25.58,53
10 August 2023,0,24.43,56
11 August 2023,0,24.05,58
12 August 2023,0,24.05,50
13 August 2023,0,21.9,62
14 August 2023,0,25.42,36
15 August 2023,0,27.27,36
16 August 2023,0,26.58,59
17 August 2023,0,27.02,52
18 August 2023,0,26.37,67
19 August 2023,0,23.41,68
20 August 2023,0,24.77,53
21 August 2023,0,25.52,44
22 August 2023,0,24,52
23 August 2023,0,23.15,54
24 August 2023,0,23.03,56
25 August 2023,0,24.53,55
26 August 2023,0,26.09,51
27 August 2023,0,26.56,51
28 August 2023,2,25.59,56
29 August 2023,0,24.97,60
30 August 2023,1,25.67,57
31 August 2023,0,23.99,68
01 September 2023,0,21.15,77
02 September 2023,0,20.69,66
03 September 2023,0,22.12,58
04 September 2023,0,22.82,66
05 September 2023,0,23.65,63
06 September 2023,0,25.1,53
07 September 2023,6,25.67,54
08 September 2023,0,25.56,61
09 September 2023,4,24.08,57
10 September 2023,3,22.41,64
11 September 2023,0,21.52,66
12 September 2023,3,22.04,53
13 September 2023,2,23.88,47
14 September 2023,0,25.65,52
15 September 2023,0,25.44,56
16 September 2023,0,24.47,58
17 September 2023,0,14.74,81
18 September 2023,6,15.41,48
19 September 2023,0,17.23,43
20 September 2023,0,17.39,55
21 September 2023,0,16.29,60
22 September 2023,0,14.03,64
23 September 2023,2,15.13,57
24 September 2023,0,18.19,50
25 September 2023,2,17.75,73
26 September 2023,0,17.7,77
27 September 2023,3,18.09,59
28 September 2023,1,18.49,61
